s,V_dl,V_base,delta,ret_dl_%,ret_base_%
0,3995.6962890625,4417.994140625,422.2978515625,-60.04303741455078,-55.82006072998047
1,5987.72314453125,7128.5576171875,1140.83447265625,-40.122772216796875,-28.71442413330078
2,14980.35546875,12787.3896484375,-2192.9658203125,49.80355453491211,27.873897552490234
3,24617.962890625,24622.115234375,4.15234375,146.17962646484375,146.22116088867188
4,57438.5859375,43870.6328125,-13567.953125,474.3858947753906,338.70635986328125
mean,21404.06640625,18565.337890625,-2838.728515625,114.04066467285156,85.65337371826172
worst,3995.6962890625,4417.994140625,422.2978515625,-60.04303741455078,-55.82006072998047
