lambda,m,turnover_total,turnover_SPX,turnover_CMC200
0.3,0.1,2.9529130461463207,1.476637749659962,1.4762752964863586
0.3,0.5,0.8477961413994912,0.4239569568457653,0.42383918455372593
0.3,1.0,0.6987006443903411,0.34935139910589713,0.349349245284444
0.9,0.1,1.220307793187358,0.6101626014640208,0.6101451917233373
0.9,0.5,0.4969225923005546,0.24862458583566854,0.24829800646488603
0.9,1.0,0.47341565746008984,0.23671025058122144,0.2367054068788684
1.2,0.1,1.1978456081707027,0.5989358906405959,0.5989097175301068
1.2,0.5,0.6342711226502774,0.3179514405913542,0.31631968205892325
1.2,1.0,0.6129096092052305,0.3064579514853417,0.3064516577198888
1.5,0.1,1.1845684301733206,0.5923174101457704,0.5922510200275501
1.5,0.5,0.7151604569391451,0.3583754704610137,0.35678498647813145
1.5,1.0,0.6966801637503386,0.3483661905279107,0.34831397322242785
1.8,0.1,1.1754446544082955,0.5877302692121422,0.5877143851961533
1.8,0.5,0.7686104099494799,0.3849482947234143,0.38366211522606564
1.8,1.0,0.7524113609917188,0.37621190230225615,0.37619945868946264
